agency,median_yrs,count,percent
DVS,3,32,0.0%
BIC,4,78,0.0%
DORIS,4,60,0.0%
DCA,5,396,0.2%
DCP,5,301,0.2%
DHS,5,"2,437",1.5%
DOB,5,"1,574",1.0%
DOI,5,222,0.1%
DOITT,5,"1,549",1.0%
DCLA,6,55,0.0%
SBS,6,273,0.2%
DOHMH,7,"6,686",4.1%
DOC,8,"12,152",7.5%
LABOR,8,326,0.2%
OATH,8,326,0.2%
DDC,10,"1,296",0.8%
DOE,10,"11,795",7.3%
DYCD,10,496,0.3%
PARKS,10,"3,375",2.1%
ACS,11,"6,837",4.2%
DCAS,11,"1,810",1.1%
DEP,12,"5,889",3.6%
DOT,12,"4,716",2.9%
DSNY,12,"10,020",6.2%
HPD,12,"2,302",1.4%
NYPD,12,"52,227",32.4%
FDNY,13,"17,113",10.6%
DOF,14,"1,899",1.2%
HRA-DSS,14,"13,027",8.1%
DFTA,15,306,0.2%
DOP,18,"1,142",0.7%
